scale,instance_id,mode,max_direct_tasks,status,certificate_scope,pricing_state,root_lp_bound_official,objective,root_lp_bound,root_bound_le_B0_objective,round_count,added_column_count,pool_column_count,master_column_count,final_judge_status,final_judge_source,final_judge_wall_time,final_judge_negative_count,manual_priced_column_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,note
5,lunar_ice_sp50_005_006_seed679032,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1244.612406,1244.612406,True,3,21,27,27,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.7e-05,0,31,True,True,0,0.006431,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_008_seed679014,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1579.649799,,,0,0,,,,,,,,,,,0.005368,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_008_seed679014,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1579.649799,1579.649799,True,4,21,27,27,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3e-05,0,31,True,True,0,0.009212,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_004_seed679030,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1233.389303,,,0,0,,,,,,,,,,,0.003892,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_004_seed679030,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1233.389303,1233.389303,True,3,19,25,25,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.4e-05,0,31,True,True,0,0.005508,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_009_seed679015,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1513.217855,,,0,0,,,,,,,,,,,0.004701,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_009_seed679015,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1513.217855,1513.217855,True,3,18,24,24,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.1e-05,0,31,True,True,0,0.005483,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_012_seed679018,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1431.520203,,,0,0,,,,,,,,,,,0.010848,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_012_seed679018,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1431.520203,1431.520203,True,3,19,25,25,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000245,0,31,True,True,0,0.013105,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_010_seed679016,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1340.689732,,,0,0,,,,,,,,,,,0.007137,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_010_seed679016,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1340.689732,1340.689732,True,3,21,27,27,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3e-05,0,31,True,True,0,0.008449,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_011_seed679017,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1432.954994,,,0,0,,,,,,,,,,,0.00519,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_011_seed679017,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1432.954994,1432.954994,True,3,20,26,26,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.1e-05,0,31,True,True,0,0.006893,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_013_seed679019,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1573.234918,,,0,0,,,,,,,,,,,0.006086,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_013_seed679019,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1573.234918,1573.234918,True,3,17,23,23,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.2e-05,0,31,True,True,0,0.010477,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_014_seed679020,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1544.987555,,,0,0,,,,,,,,,,,0.007137,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_014_seed679020,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1544.987555,1544.987555,True,3,21,27,27,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.1e-05,0,31,True,True,0,0.008394,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_015_seed679021,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1529.573117,,,0,0,,,,,,,,,,,0.003879,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_015_seed679021,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1529.573117,1529.573117,True,4,20,26,26,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3e-05,0,31,True,True,0,0.007219,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_019_seed679025,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1158.248056,,,0,0,,,,,,,,,,,0.003851,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_019_seed679025,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1158.248056,1158.248056,True,3,21,27,27,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3e-05,0,31,True,True,0,0.005487,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_016_seed679062,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1071.627935,,,0,0,,,,,,,,,,,0.004224,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_016_seed679062,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1071.627935,1071.627935,True,3,21,27,27,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3e-05,0,31,True,True,0,0.006045,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_020_seed679026,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1330.682244,,,0,0,,,,,,,,,,,0.005117,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_020_seed679026,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1330.682244,1330.682244,True,3,21,27,27,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3.1e-05,0,31,True,True,0,0.007247,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_018_seed679064,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,956.173707,,,0,0,,,,,,,,,,,0.008606,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_018_seed679064,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,956.173707,956.173707,True,4,18,24,24,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3e-05,0,31,True,True,0,0.007526,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
5,lunar_ice_sp50_005_017_seed679123,B0_pure_direct_dp,5,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,1255.420499,,,0,0,,,,,,,,,,,0.007257,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
5,lunar_ice_sp50_005_017_seed679123,B1B_seeded_root_CG,5,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1255.420499,1255.420499,True,3,21,27,27,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,3e-05,0,31,True,True,0,0.008586,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_004_seed729004,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2434.053897,,,0,0,,,,,,,,,,,0.120175,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_004_seed729004,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2434.053897,2434.053897,True,3,55,67,67,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000173,0,228,True,True,0,0.126229,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_002_seed729002,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2458.986666,,,0,0,,,,,,,,,,,0.063958,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_002_seed729002,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2458.986666,2458.986666,True,3,146,158,158,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000201,0,239,True,True,0,0.084999,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_001_seed729001,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2931.301573,,,0,0,,,,,,,,,,,0.059557,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_001_seed729001,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2931.301573,2931.301573,True,3,176,188,188,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000185,0,232,True,True,0,0.085957,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_007_seed729007,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2223.951295,,,0,0,,,,,,,,,,,0.126957,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_007_seed729007,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2223.951295,2223.951295,True,3,173,185,185,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000358,0,389,True,True,0,0.1656,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_003_seed729023,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2824.685922,,,0,0,,,,,,,,,,,0.084694,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_003_seed729023,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2824.685922,2824.685922,True,3,241,253,253,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000348,0,424,True,True,0,0.156294,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_005_seed729045,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2205.952701,,,0,0,,,,,,,,,,,0.265333,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_005_seed729045,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2205.952701,2205.952701,True,4,265,277,277,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000303,0,379,True,True,0,0.412064,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_010_seed729010,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,3015.878029,,,0,0,,,,,,,,,,,0.338536,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_010_seed729010,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,3015.878029,3015.878029,True,3,249,261,261,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.00038,0,477,True,True,0,0.405279,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_006_seed729086,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2454.011928,,,0,0,,,,,,,,,,,0.084865,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_006_seed729086,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2454.011928,2454.011928,True,3,172,184,184,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000242,0,303,True,True,0,0.114838,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_011_seed729011,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2652.097258,,,0,0,,,,,,,,,,,0.298616,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_011_seed729011,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2652.097258,2652.097258,True,4,210,222,222,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000362,0,449,True,True,0,0.366941,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_009_seed729069,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2569.755376,,,0,0,,,,,,,,,,,0.168005,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_009_seed729069,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2569.755376,2569.755376,True,3,174,186,186,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000295,0,351,True,True,0,0.191188,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_008_seed729068,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2433.224938,,,0,0,,,,,,,,,,,0.121652,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_008_seed729068,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2433.224938,2433.224938,True,4,169,181,181,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000278,0,343,True,True,0,0.164164,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_015_seed729015,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2357.37971,,,0,0,,,,,,,,,,,0.200919,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_015_seed729015,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2357.37971,2357.37971,True,4,294,306,306,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000343,0,430,True,True,0,0.360125,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_016_seed729016,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2597.132924,,,0,0,,,,,,,,,,,0.067856,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_016_seed729016,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2597.132924,2597.132924,True,3,195,207,207,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000245,0,285,True,True,0,0.114188,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_014_seed729034,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2897.486857,,,0,0,,,,,,,,,,,0.115022,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_014_seed729034,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2897.486857,2897.486857,True,3,110,122,122,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000242,0,310,True,True,0,0.128235,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_013_seed729053,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,3221.96506,,,0,0,,,,,,,,,,,0.290796,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_013_seed729053,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,3221.96506,3221.96506,True,3,239,251,251,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.00037,0,451,True,True,0,0.326613,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
