matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,B0_direct_objective,reference_solution_upper_bound,reference_solution_upper_bound_source,direct_bound_pruning_root_bound,direct_bound_pruning_active,journey_label_bound_pruned_count,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,B2B_R3_root_lp_bound,B3_global_lb,B3_global_ub,B3_global_gap,objective_diff_vs_B0,B3_tree_closed,BPC_TREE_OPTIMAL_count,BPC_NODE_LP_CERTIFIED_count,node_count,evaluated_node_count,open_node_count,incomplete_node_count,pruned_by_bound_count,integer_incumbent_count,branch_count,max_depth_reached,NO_FRACTIONAL_RF_PAIR_count,manual_rc_audit_pass,pricing_rc_audit_pass,branch_pricing_audit_pass,proof_debt_unreleased_count,selected_harvest_addability_fail_count,all_node_ledgers_valid,direct_dp_used_as_bpc_certificate,root_bound_gt_B0_violation,tree_incumbent_diff_vs_B0,certificate_scope_regression,manual_rc_fail,pricing_rc_fail,branch_pricing_audit_fail,proof_debt_unreleased_certified,direct_dp_certificate_leak,NO_FRACTIONAL_RF_PAIR_treated_as_integral,open_node_but_tree_optimal,incomplete_node_but_tree_optimal,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit
20-scale full normalized objective,20,lunar_ice_sp50_020_003_seed829003,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.581185,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5114.631224,179.732467728,7816.631558847,1680.0,False,2937.391256,108.128821,7919.488044,1183.472444,6213.315295,0.574311446,0.601609839,1.013158671,0.704447883,1.581185,1.581185,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,22.189415,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_003_seed829003,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.581185,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5114.631224,179.732467728,7816.631558847,1680.0,False,2937.391256,108.128821,7919.488044,1183.472444,6213.315295,0.574311446,0.601609839,1.013158671,0.704447883,1.581185,1.581185,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,22.511017,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_003_seed829003,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,1.581185,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5114.631224,179.732467728,7816.631558847,1680.0,False,2937.391256,108.128821,7919.488044,1183.472444,6213.315295,0.574311446,0.601609839,1.013158671,0.704447883,1.581185,1.581185,False,1.581185,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,True,True,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,68.325405,Stopped after max_rounds=8; B2B_R3_true_dual_negative_search_worker worker/final-judge root proof is incomplete.,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_003_seed829003,B3A_full_universe_branch_audit,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,1.581185,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5114.631224,179.732467728,7816.631558847,1680.0,False,2937.391256,108.128821,7919.488044,1183.472444,6213.315295,0.574311446,0.601609839,1.013158671,0.704447883,1.581185,1.581185,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.023213,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b3a_full_universe_node_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000
20-scale full normalized objective,20,lunar_ice_sp50_020_003_seed829003,B3B_seeded_branch_price_tree,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1.581185,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5114.631224,179.732467728,7816.631558847,1680.0,False,2937.391256,108.128821,7919.488044,1183.472444,6213.315295,0.574311446,0.601609839,1.013158671,0.704447883,1.581185,1.581185,False,,1.581185,1.581185,0.0,0.0,True,1,3,3,3,0,0,1,1,2,1,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,79.213747,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_004_seed829004,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.66182,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4687.420219,159.188279337,6072.417077391,1680.0,False,2883.495814,102.19426,6143.655195,997.964164,5443.152152,0.615156244,0.641971007,1.011731427,0.594026288,1.66182,1.66182,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,14.665917,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_004_seed829004,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.66182,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4687.420219,159.188279337,6072.417077391,1680.0,False,2883.495814,102.19426,6143.655195,997.964164,5443.152152,0.615156244,0.641971007,1.011731427,0.594026288,1.66182,1.66182,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,14.534213,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_004_seed829004,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,1.66182,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4687.420219,159.188279337,6072.417077391,1680.0,False,2883.495814,102.19426,6143.655195,997.964164,5443.152152,0.615156244,0.641971007,1.011731427,0.594026288,1.66182,1.66182,False,1.66182,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,True,True,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,92.957991,Stopped after max_rounds=8; B2B_R3_true_dual_negative_search_worker worker/final-judge root proof is incomplete.,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_004_seed829004,B3A_full_universe_branch_audit,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,1.66182,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4687.420219,159.188279337,6072.417077391,1680.0,False,2883.495814,102.19426,6143.655195,997.964164,5443.152152,0.615156244,0.641971007,1.011731427,0.594026288,1.66182,1.66182,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.010035,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b3a_full_universe_node_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000
20-scale full normalized objective,20,lunar_ice_sp50_020_004_seed829004,B3B_seeded_branch_price_tree,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1.66182,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4687.420219,159.188279337,6072.417077391,1680.0,False,2883.495814,102.19426,6143.655195,997.964164,5443.152152,0.615156244,0.641971007,1.011731427,0.594026288,1.66182,1.66182,False,,1.66182,1.66182,0.0,0.0,True,1,5,5,5,0,0,0,3,4,2,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,89.843452,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_005_seed829005,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.611249,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4718.983366,175.138021846,5992.901006404,1680.0,False,2732.297314,108.673508,6168.869656,938.700212,5308.518684,0.57900126,0.620502087,1.029362849,0.558750126,1.611248,1.611249,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,34.868396,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_005_seed829005,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.611249,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4718.983366,175.138021846,5992.901006404,1680.0,False,2732.297314,108.673508,6168.869656,938.700212,5308.518684,0.57900126,0.620502087,1.029362849,0.558750126,1.611248,1.611249,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,34.881935,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_005_seed829005,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,1.611249,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4718.983366,175.138021846,5992.901006404,1680.0,False,2732.297314,108.673508,6168.869656,938.700212,5308.518684,0.57900126,0.620502087,1.029362849,0.558750126,1.611248,1.611249,False,1.611249,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,True,True,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,109.446241,Stopped after max_rounds=8; B2B_R3_true_dual_negative_search_worker worker/final-judge root proof is incomplete.,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_005_seed829005,B3A_full_universe_branch_audit,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,1.611249,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4718.983366,175.138021846,5992.901006404,1680.0,False,2732.297314,108.673508,6168.869656,938.700212,5308.518684,0.57900126,0.620502087,1.029362849,0.558750126,1.611248,1.611249,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.012508,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b3a_full_universe_node_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000
20-scale full normalized objective,20,lunar_ice_sp50_020_005_seed829005,B3B_seeded_branch_price_tree,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1.611249,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4718.983366,175.138021846,5992.901006404,1680.0,False,2732.297314,108.673508,6168.869656,938.700212,5308.518684,0.57900126,0.620502087,1.029362849,0.558750126,1.611248,1.611249,False,,1.611249,1.611249,0.0,0.0,True,1,1,1,1,0,0,0,1,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,100.717036,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_006_seed829006,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.663893,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5139.614546,192.035866967,7574.053405433,1680.0,False,3189.167339,122.228003,7704.718984,1156.158424,6393.282936,0.620507104,0.636485282,1.017251737,0.688189538,1.663893,1.663893,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,15.508216,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_006_seed829006,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.663893,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5139.614546,192.035866967,7574.053405433,1680.0,False,3189.167339,122.228003,7704.718984,1156.158424,6393.282936,0.620507104,0.636485282,1.017251737,0.688189538,1.663893,1.663893,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,15.57055,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_006_seed829006,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,1.663893,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5139.614546,192.035866967,7574.053405433,1680.0,False,3189.167339,122.228003,7704.718984,1156.158424,6393.282936,0.620507104,0.636485282,1.017251737,0.688189538,1.663893,1.663893,False,1.663893,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,True,True,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,83.269206,Stopped after max_rounds=8; B2B_R3_true_dual_negative_search_worker worker/final-judge root proof is incomplete.,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_006_seed829006,B3A_full_universe_branch_audit,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,1.663893,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5139.614546,192.035866967,7574.053405433,1680.0,False,3189.167339,122.228003,7704.718984,1156.158424,6393.282936,0.620507104,0.636485282,1.017251737,0.688189538,1.663893,1.663893,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.009942,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b3a_full_universe_node_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000
20-scale full normalized objective,20,lunar_ice_sp50_020_006_seed829006,B3B_seeded_branch_price_tree,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1.663893,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5139.614546,192.035866967,7574.053405433,1680.0,False,3189.167339,122.228003,7704.718984,1156.158424,6393.282936,0.620507104,0.636485282,1.017251737,0.688189538,1.663893,1.663893,False,,1.663893,1.663893,0.0,0.0,True,1,1,1,1,0,0,0,1,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,38.315716,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_008_seed829008,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.632942,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4966.000895,182.788358896,6252.834645989,1680.0,False,2965.364179,115.322716,6329.453819,1111.922762,5612.468423,0.597133235,0.630908427,1.01225351,0.661858787,1.632943,1.632942,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,60.803553,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_008_seed829008,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.632942,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4966.000895,182.788358896,6252.834645989,1680.0,False,2965.364179,115.322716,6329.453819,1111.922762,5612.468423,0.597133235,0.630908427,1.01225351,0.661858787,1.632943,1.632942,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,62.191519,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_008_seed829008,B2B_R3_true_dual_negative_search_worker,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,1.632942,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4966.000895,182.788358896,6252.834645989,1680.0,False,2965.364179,115.322716,6329.453819,1111.922762,5612.468423,0.597133235,0.630908427,1.01225351,0.661858787,1.632943,1.632942,False,1.632942,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,True,True,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,189.129765,Stopped after max_rounds=8; B2B_R3_true_dual_negative_search_worker worker/final-judge root proof is incomplete.,,,False,,,,,
