matrix_group,scale,instance_id,mode,baseline_name,candidate_name,seed_builder,initial_column_count,full_universe_column_count,full_universe_preloaded,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,official_lower_bound_source,official_lower_bound_scope,B0_direct_objective,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,root_lp_bound,root_lp_bound_official,root_bound_le_B0_objective,pricing_round_count,final_judge_call_count,candidate_negative_count,addable_negative_count,duplicate_in_current_master_count,in_pool_not_master_count,forbidden_signature_count,branch_filtered_count,cut_filtered_count,selected_count,selected_would_enter_master_count,selected_all_would_enter_master,added_to_master_count,added_column_count,duplicate_only_count,duplicate_only_audit_status,hidden_negative_count,replacement_only_round_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,product_exact_solution_scope,product_exact_solution_count,product_exact_objective,direct_dp_fallback_used,direct_dp_fallback_count,rmp_wall_time,worker_status,diagnostic_dual_source,diagnostic_rmp_iteration_id,diagnostic_dual_fingerprint,worker_wall_time,final_judge_wall_time,time_to_first_negative,time_to_first_addable_negative,labels_generated,labels_generated_before_first_negative,labels_generated_total,labels_extended,sortie_templates,journey_labels,candidate_sequences,path_option_assignments,resource_prune_count,time_window_prune_count,dominance_prune_count,bound_prune_count,bound_check_time,dominance_time,cache_hit_count,cache_miss_count,max_queue_size,peak_label_count,worker_call_count,worker_found_negative_count,worker_found_addable_negative_count,worker_no_column_uncertified_count,worker_incomplete_count,final_judge_saved_by_worker_count,exit_reason,exact_first_step_bound_pruning_enabled,exact_first_step_bound_evaluated_count,would_prune_count_if_enabled,completion_bound_pruning_enabled,proof_tail_kernel_profile_enabled,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit,certificate_scope_regression,objective_mismatch,improvement_reason
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B0_pure_direct_dp,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,,0,,False,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,8.760504,,,,False,,,,,,False,False,
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B1A_full_universe_root_audit,accepted_B1,B1A_full_universe_root_audit,,0,1048575,False,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,False,False,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,4.1e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,False,
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B1B_seeded_root_CG,accepted_B1,B1B_seeded_root_CG,,23,,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,1.774474,True,True,5,5,0,0,0,0,0,0,0,0,0,True,1172,1172,0,,0,0,True,True,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,52.858839,,,,False,,,,,,False,False,
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B2_PRODUCT_EXACT_SOLVER,fixed_graph_direct_dp_product_exact,B2_PRODUCT_EXACT_SOLVER,,0,,False,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,,,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,DIRECT_DP_FIXED_GRAPH_OPTIMAL,1,1.774474,True,1,,,,,,,,,,27404,,27404,0,0,7889,0,254198,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,2.1e-05,,,,False,,,,,,False,False,
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B2A_full_universe_rc_audit_fast_path,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,,0,1048575,False,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,False,False,0,,0,,False,0,0.0,,,,,0.0,0.0,,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,9.2e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b2a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,False,final_judge_wall_time_lower
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B2B_seeded_tail_CG,B1B_seeded_root_CG,B2B_seeded_tail_CG,,23,,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,1.774474,True,True,8,8,10138,10138,0,0,0,0,0,437,437,True,437,437,0,,0,0,True,True,0,,0,,False,0,0.0,,,,,0.0,8.742028,,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,71.533602,,,,False,,,,,,False,False,final_judge_wall_time_lower
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B2B_R2_worker_before_final_judge,B1B_seeded_root_CG,B2B_R2_worker_before_final_judge,b2b_r2_lightweight_no_full_universe_enumeration,23,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,1.774474,False,True,8,2,2495,2495,0,0,0,0,0,191,191,True,162,162,0,,806,0,True,True,0,,0,,False,0,0.052638,LOCAL_NO_COLUMN_UNCERTIFIED,master.reduced_cost_context,B2B_R2_worker_before_final_judge-root-8,bc0d5de9830cccee50487031b76c2568c48a6c49bc534265c0ab2dd75d435525,0.52355,16.751909,0.050163,0.050163,59120,496,59120,567084,19179879,3376,16290,567084,0,0,0,0,0.0,0.0,386,126,0,27404,8,7,7,1,0,6,WORKER_INCOMPLETE_LIMIT,False,59120,0,False,True,17.470144,Stopped after max_rounds=8; B2B_R2_worker_before_final_judge worker/final-judge root proof is incomplete.,,,False,,,,,,True,False,"wall_time_lower,final_judge_call_count_lower,final_judge_wall_time_lower,time_to_first_addable_negative_available,worker_found_addable_negative"
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B2B_R3_true_dual_negative_search_worker,B1B_seeded_root_CG,B2B_R3_true_dual_negative_search_worker,b2b_r3_lightweight_no_full_universe_enumeration,23,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,False,,,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,1.774474,False,True,8,2,2495,2495,0,0,0,0,0,191,191,True,162,162,0,,806,0,True,True,0,,0,,False,0,0.055372,LOCAL_NO_COLUMN_UNCERTIFIED,master.reduced_cost_context,B2B_R3_true_dual_negative_search_worker-root-8,85e9900e30860f82a251a661edd21d1c9feaa5c40b34a4ee05fa9fc8795f6248,0.531237,17.330229,0.051251,0.051251,59120,496,59120,567084,19179879,3376,16290,567084,0,0,0,0,0.0,0.0,386,126,0,27404,8,7,7,1,0,6,WORKER_INCOMPLETE_LIMIT,False,59120,0,False,True,18.064654,Stopped after max_rounds=8; B2B_R3_true_dual_negative_search_worker worker/final-judge root proof is incomplete.,,,False,,,,,,True,False,"wall_time_lower,final_judge_call_count_lower,final_judge_wall_time_lower,time_to_first_addable_negative_available,worker_found_addable_negative"
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B2C_limited_pricing_diagnostic,diagnostic_only_no_certificate,B2C_limited_pricing_diagnostic,,0,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,FOUND_NEGATIVE,False,,,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,,False,,0,0,2,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,0.000367,,master.reduced_cost_context,B2C_limited_pricing_diagnostic-diagnostic-root,be984dcc8263a9f4ad9cae0ba75920e70e0452e02b46745e82cdb56eb6b85c2f,1.153813,0.0,1.153813,,568,568,568,0,2355,9,8,200997,0,0,0,0,,,0,8,0,0,0,0,0,0,0,0,FOUND_NEGATIVE,False,0,0,False,False,1.169835,B2C_limited_pricing_diagnostic: limited pricing diagnostic cannot certify no-negative or provide an official bound.,,,False,,,,,,False,False,
20-scale full normalized objective,20,lunar_ice_sp50_020_002_seed829002,B2D_proof_tail_kernel_profile,diagnostic_only_no_certificate,B2D_proof_tail_kernel_profile,,0,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,FOUND_NEGATIVE,False,,,1.774474,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4889.684289,169.365642296,6553.932406733,1680.0,False,3237.5976,120.138313,6603.135838,1163.988732,5998.990248,0.662128147,0.709342883,1.007507467,0.692850436,1.774474,1.774474,False,,False,,0,0,2,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,0.000485,,master.reduced_cost_context,B2D_proof_tail_kernel_profile-diagnostic-root,b7342754e11e22bb59a7c4ac24d92b500811cefcb7a0239b75b97ebc69831e64,1.151305,0.0,1.151305,,568,568,568,0,2355,9,8,200997,0,0,0,0,,,0,8,0,0,0,0,0,0,0,0,FOUND_NEGATIVE,False,0,0,False,True,1.168228,B2D_proof_tail_kernel_profile: limited pricing diagnostic cannot certify no-negative or provide an official bound.,,,False,,,,,,False,False,
20-scale full normalized objective,20,lunar_ice_sp50_020_003_seed829003,B0_pure_direct_dp,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,,0,,False,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1.581185,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5114.631224,179.732467728,7816.631558847,1680.0,False,2937.391256,108.128821,7919.488044,1183.472444,6213.315295,0.574311446,0.601609839,1.013158671,0.704447883,1.581185,1.581185,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,22.454545,,,,False,,,,,,False,False,
