matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,bpc_certificate_status,official_lower_bound_source,official_lower_bound_scope,best_diagnostic_bound_source,B0_direct_objective,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,B1_root_lp_bound,root_lp_bound_official,root_lp_bound_le_direct_dp_integer_objective,root_lp_vs_direct_dp_gap,integral_root,pricing_round_count,added_column_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit,direct_root_official_leak,b1_mode,seed_mode,initial_column_count,full_universe_column_count,full_universe_preloaded
20-scale full normalized objective,20,lunar_ice_sp50_020_004_seed829004,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,b1_restricted_root_rmp,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4687.420219,159.188279337,6072.417077391,1680.0,False,,,,,,,,,,,,,,False,,,,0,0,,,0,3.5e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,B1A_full_universe_root_audit,full_universe,0,1048575,False
20-scale full normalized objective,20,lunar_ice_sp50_020_004_seed829004,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.66182,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4687.420219,159.188279337,6072.417077391,1680.0,False,2883.495814,102.19426,6143.655195,997.964164,5443.152152,0.615156244,0.641971007,1.011731427,0.594026288,1.66182,1.66182,False,1.660374,True,True,0.001446,False,6,1434,True,True,0,116.672066,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,23,,False
20-scale full normalized objective,20,lunar_ice_sp50_020_005_seed829005,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.611249,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4718.983366,175.138021846,5992.901006404,1680.0,False,2732.297314,108.673508,6168.869656,938.700212,5308.518684,0.57900126,0.620502087,1.029362849,0.558750126,1.611248,1.611249,False,,False,,,,0,0,,,0,34.738843,,,,False,,,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_005_seed829005,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,b1_restricted_root_rmp,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4718.983366,175.138021846,5992.901006404,1680.0,False,,,,,,,,,,,,,,False,,,,0,0,,,0,4.2e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,B1A_full_universe_root_audit,full_universe,0,1048575,False
20-scale full normalized objective,20,lunar_ice_sp50_020_005_seed829005,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.611249,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4718.983366,175.138021846,5992.901006404,1680.0,False,2732.297314,108.673508,6168.869656,938.700212,5308.518684,0.57900126,0.620502087,1.029362849,0.558750126,1.611248,1.611249,False,1.611249,True,True,0.0,True,7,1601,True,True,0,310.909621,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,23,,False
20-scale full normalized objective,20,lunar_ice_sp50_020_006_seed829006,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.663893,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5139.614546,192.035866967,7574.053405433,1680.0,False,3189.167339,122.228003,7704.718984,1156.158424,6393.282936,0.620507104,0.636485282,1.017251737,0.688189538,1.663893,1.663893,False,,False,,,,0,0,,,0,15.766224,,,,False,,,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_006_seed829006,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,b1_restricted_root_rmp,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5139.614546,192.035866967,7574.053405433,1680.0,False,,,,,,,,,,,,,,False,,,,0,0,,,0,3.7e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,B1A_full_universe_root_audit,full_universe,0,1048575,False
20-scale full normalized objective,20,lunar_ice_sp50_020_006_seed829006,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.663893,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5139.614546,192.035866967,7574.053405433,1680.0,False,3189.167339,122.228003,7704.718984,1156.158424,6393.282936,0.620507104,0.636485282,1.017251737,0.688189538,1.663893,1.663893,False,1.663893,True,True,0.0,True,5,1154,True,True,0,102.747094,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,23,,False
20-scale full normalized objective,20,lunar_ice_sp50_020_008_seed829008,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.632942,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4966.000895,182.788358896,6252.834645989,1680.0,False,2965.364179,115.322716,6329.453819,1111.922762,5612.468423,0.597133235,0.630908427,1.01225351,0.661858787,1.632943,1.632942,False,,False,,,,0,0,,,0,62.286624,,,,False,,,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_008_seed829008,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,b1_restricted_root_rmp,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4966.000895,182.788358896,6252.834645989,1680.0,False,,,,,,,,,,,,,,False,,,,0,0,,,0,3.6e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,B1A_full_universe_root_audit,full_universe,0,1048575,False
20-scale full normalized objective,20,lunar_ice_sp50_020_008_seed829008,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.632942,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4966.000895,182.788358896,6252.834645989,1680.0,False,2965.364179,115.322716,6329.453819,1111.922762,5612.468423,0.597133235,0.630908427,1.01225351,0.661858787,1.632943,1.632942,False,1.632942,True,True,0.0,True,7,1624,True,True,0,517.120795,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,23,,False
20-scale full normalized objective,20,lunar_ice_sp50_020_009_seed829009,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.893717,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4873.801336,184.313377657,6704.362166051,1680.0,False,3588.029749,138.577524,6799.42464,1062.842533,6446.377129,0.736187116,0.751858198,1.014179197,0.632644365,1.893717,1.893717,False,,False,,,,0,0,,,0,19.403382,,,,False,,,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_009_seed829009,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,b1_restricted_root_rmp,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4873.801336,184.313377657,6704.362166051,1680.0,False,,,,,,,,,,,,,,False,,,,0,0,,,0,3.7e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,B1A_full_universe_root_audit,full_universe,0,1048575,False
20-scale full normalized objective,20,lunar_ice_sp50_020_009_seed829009,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.893717,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4873.801336,184.313377657,6704.362166051,1680.0,False,3588.029749,138.577524,6799.42464,1062.842533,6446.377129,0.736187116,0.751858198,1.014179197,0.632644365,1.893717,1.893717,False,1.891169,True,True,0.002548,False,6,1281,True,True,0,151.751266,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,23,,False
20-scale full normalized objective,20,lunar_ice_sp50_020_010_seed829010,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.63639,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4842.59149,173.604532357,6510.555504182,1680.0,False,2912.410126,109.936597,6538.491152,1081.899833,5637.743184,0.601415612,0.633258795,1.004290824,0.643987996,1.636391,1.63639,False,,False,,,,0,0,,,0,43.773358,,,,False,,,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_010_seed829010,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,b1_restricted_root_rmp,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4842.59149,173.604532357,6510.555504182,1680.0,False,,,,,,,,,,,,,,False,,,,0,0,,,0,3.5e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,B1A_full_universe_root_audit,full_universe,0,1048575,False
20-scale full normalized objective,20,lunar_ice_sp50_020_010_seed829010,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.63639,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4842.59149,173.604532357,6510.555504182,1680.0,False,2912.410126,109.936597,6538.491152,1081.899833,5637.743184,0.601415612,0.633258795,1.004290824,0.643987996,1.636391,1.63639,False,1.625919,True,True,0.010471,False,5,1318,True,True,0,276.923404,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,23,,False
20-scale full normalized objective,20,lunar_ice_sp50_020_011_seed829011,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.529607,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4877.489791,179.998834072,6352.814339099,1680.0,False,2692.303313,103.186097,6422.096931,961.340266,5364.328182,0.551985433,0.573259808,1.010905811,0.572226349,1.529608,1.529607,False,,False,,,,0,0,,,0,66.971258,,,,False,,,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_011_seed829011,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,b1_restricted_root_rmp,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4877.489791,179.998834072,6352.814339099,1680.0,False,,,,,,,,,,,,,,False,,,,0,0,,,0,4.3e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,B1A_full_universe_root_audit,full_universe,0,1048575,False
20-scale full normalized objective,20,lunar_ice_sp50_020_011_seed829011,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.529607,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4877.489791,179.998834072,6352.814339099,1680.0,False,2692.303313,103.186097,6422.096931,961.340266,5364.328182,0.551985433,0.573259808,1.010905811,0.572226349,1.529608,1.529607,False,1.529607,True,True,0.0,True,6,860,True,True,0,477.510202,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,23,,False
20-scale full normalized objective,20,lunar_ice_sp50_020_012_seed829012,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.558215,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5015.822784,176.470193394,5765.469053699,1680.0,False,2810.229876,104.507948,5848.051938,928.173585,5253.958599,0.56027296,0.59221303,1.014323706,0.552484277,1.558215,1.558215,False,,False,,,,0,0,,,0,45.346928,,,,False,,,,,,False,,,,,
20-scale full normalized objective,20,lunar_ice_sp50_020_012_seed829012,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,b1_restricted_root_rmp,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5015.822784,176.470193394,5765.469053699,1680.0,False,,,,,,,,,,,,,,False,,,,0,0,,,0,3.8e-05,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,,,True,b1a_full_universe_active_rmp,dense RMP tableau precheck failed before loading active columns: estimated_cells=1099554619392 exceeds limit=50000000,1048575,1099554619392,50000000,False,B1A_full_universe_root_audit,full_universe,0,1048575,False
20-scale full normalized objective,20,lunar_ice_sp50_020_012_seed829012,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.558215,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,5015.822784,176.470193394,5765.469053699,1680.0,False,2810.229876,104.507948,5848.051938,928.173585,5253.958599,0.56027296,0.59221303,1.014323706,0.552484277,1.558215,1.558215,False,1.514204,True,True,0.044011,False,5,1447,True,True,0,282.706991,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,23,,False
20-scale full normalized objective,20,lunar_ice_sp50_020_013_seed829013,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.587061,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,4829.980165,176.18723231,6077.110048576,1680.0,False,2767.120179,106.835479,6195.330302,966.726902,5352.087779,0.572905081,0.606374694,1.019453367,0.57543268,1.587061,1.587061,False,,False,,,,0,0,,,0,37.496888,,,,False,,,,,,False,,,,,
