scale,instance_id,mode,max_direct_tasks,status,certificate_scope,pricing_state,root_lp_bound_official,objective,root_lp_bound,round_count,added_column_count,final_judge_status,final_judge_source,final_judge_wall_time,final_judge_negative_count,manual_priced_column_count,wall_time,note
10,lunar_ice_sp50_010_002_seed729002,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2458.986666,,0,0,,,,,,0.063104,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_002_seed729002,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2458.986666,2458.986666,3,146,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000195,0,239,0.15003,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_001_seed729001,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2931.301573,,0,0,,,,,,0.061132,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_001_seed729001,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2931.301573,2931.301573,3,176,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000185,0,232,0.148136,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_007_seed729007,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2223.951295,,0,0,,,,,,0.125672,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_007_seed729007,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2223.951295,2223.951295,3,173,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.000328,0,389,0.288667,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
10,lunar_ice_sp50_010_003_seed729023,B0_pure_direct_dp,10,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,2824.685922,,0,0,,,,,,0.089717,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
10,lunar_ice_sp50_010_003_seed729023,B1B_seeded_root_CG,10,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2824.685922,2824.685922,3,241,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.00036,0,424,0.244161,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
20,lunar_ice_sp50_020_004_seed829004,B0_pure_direct_dp,20,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,6290.10408,,0,0,,,,,,6.725646,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
20,lunar_ice_sp50_020_004_seed829004,B1B_seeded_root_CG,20,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,6290.10408,6290.104079,8,1650,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.01136,0,12705,35.782446,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
20,lunar_ice_sp50_020_002_seed829002,B0_pure_direct_dp,20,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,6766.890301,,0,0,,,,,,4.482176,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
20,lunar_ice_sp50_020_002_seed829002,B1B_seeded_root_CG,20,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,6766.890301,6766.890301,7,1512,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.006913,0,7889,26.495069,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
20,lunar_ice_sp50_020_001_seed829001,B0_pure_direct_dp,20,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,7386.805908,,0,0,,,,,,7.547796,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
20,lunar_ice_sp50_020_001_seed829001,B1B_seeded_root_CG,20,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,7386.805908,7386.805908,6,1423,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.015202,0,16019,30.691014,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
20,lunar_ice_sp50_020_003_seed829003,B0_pure_direct_dp,20,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,8052.53043,,0,0,,,,,,12.715524,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
20,lunar_ice_sp50_020_003_seed829003,B1B_seeded_root_CG,20,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,8052.53043,8052.53043,7,1736,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.015909,0,17647,49.045125,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
20,lunar_ice_sp50_020_005_seed829005,B0_pure_direct_dp,20,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,6220.730886,,0,0,,,,,,19.945939,"Optimal over the fixed logical graph with all three per-leg path choices and exhaustive direct DP; this is an exact baseline, not a true-dual BPC certificate."
20,lunar_ice_sp50_020_005_seed829005,B1B_seeded_root_CG,20,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,6220.730886,6220.730886,6,1443,COMPLETE_DIRECT_UNIVERSE_RC_AUDITED,provided_complete_universe_cache,0.019024,0,19130,54.005663,Root LP bound is certified by journey RMP plus exhaustive true-dual fixed-graph pricing.
30,lunar_ice_sp50_030_001_seed929001,B0_pure_direct_dp,20,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,,False,,,0,0,,,,,,0.00244,task_count=30 exceeds max_exact_tasks=20
30,lunar_ice_sp50_030_001_seed929001,B1B_seeded_root_CG,20,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,0,0,,,,,,0.001561,task_count=30 exceeds max_direct_tasks=20
30,lunar_ice_sp50_030_004_seed929004,B0_pure_direct_dp,20,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,,False,,,0,0,,,,,,0.001729,task_count=30 exceeds max_exact_tasks=20
30,lunar_ice_sp50_030_004_seed929004,B1B_seeded_root_CG,20,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,0,0,,,,,,0.001448,task_count=30 exceeds max_direct_tasks=20
30,lunar_ice_sp50_030_002_seed929002,B0_pure_direct_dp,20,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,,False,,,0,0,,,,,,0.002201,task_count=30 exceeds max_exact_tasks=20
30,lunar_ice_sp50_030_002_seed929002,B1B_seeded_root_CG,20,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,0,0,,,,,,0.001608,task_count=30 exceeds max_direct_tasks=20
30,lunar_ice_sp50_030_003_seed929003,B0_pure_direct_dp,20,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,,False,,,0,0,,,,,,0.00195,task_count=30 exceeds max_exact_tasks=20
30,lunar_ice_sp50_030_003_seed929003,B1B_seeded_root_CG,20,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,0,0,,,,,,0.001769,task_count=30 exceeds max_direct_tasks=20
30,lunar_ice_sp50_030_006_seed929006,B0_pure_direct_dp,20,SKIPPED_TOO_LARGE_FOR_DIRECT_DP_BASELINE,FEASIBLE_INCUMBENT_ONLY,,False,,,0,0,,,,,,0.001887,task_count=30 exceeds max_exact_tasks=20
30,lunar_ice_sp50_030_006_seed929006,B1B_seeded_root_CG,20,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,,,0,0,,,,,,0.001501,task_count=30 exceeds max_direct_tasks=20
