matrix_group,scale,instance_id,baseline_name,candidate_name,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,official_lower_bound_source,official_lower_bound_scope,B0_direct_objective,root_lp_bound,root_lp_bound_official,root_bound_le_B0_objective,pricing_round_count,final_judge_call_count,candidate_negative_count,addable_negative_count,duplicate_in_current_master_count,in_pool_not_master_count,forbidden_signature_count,branch_filtered_count,cut_filtered_count,selected_count,added_to_master_count,added_column_count,duplicate_only_count,duplicate_only_audit_status,hidden_negative_count,replacement_only_round_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,fail_closed_reason,certificate_scope_regression,objective_mismatch,improvement_reason
5-scale full,5,lunar_ice_sp50_005_003_seed679005,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1316.47124,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.004755,,False,False,
5-scale full,5,lunar_ice_sp50_005_003_seed679005,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1316.47124,1316.47124,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.162891,,False,False,
5-scale full,5,lunar_ice_sp50_005_003_seed679005,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1316.47124,1316.47124,True,True,4,4,0,0,0,0,0,0,0,0,20,20,0,,0,0,True,True,0,0.257808,,False,False,
5-scale full,5,lunar_ice_sp50_005_003_seed679005,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,1316.47124,1316.47124,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.010711,,False,False,"wall_time_lower,final_judge_call_count_lower"
5-scale full,5,lunar_ice_sp50_005_003_seed679005,B1B_seeded_root_CG,B2B_seeded_tail_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1316.47124,1316.47124,True,True,4,4,50,50,0,0,0,0,0,50,20,20,0,,0,0,True,True,0,0.257056,,False,False,wall_time_lower
5-scale full,5,lunar_ice_sp50_005_005_seed679011,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1182.368403,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.00466,,False,False,
5-scale full,5,lunar_ice_sp50_005_005_seed679011,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1182.368403,1182.368403,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.185438,,False,False,
5-scale full,5,lunar_ice_sp50_005_005_seed679011,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1182.368403,1182.368403,True,True,3,3,0,0,0,0,0,0,0,0,21,21,0,,0,0,True,True,0,0.242037,,False,False,
5-scale full,5,lunar_ice_sp50_005_005_seed679011,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,1182.368403,1182.368403,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.010368,,False,False,"wall_time_lower,final_judge_call_count_lower"
5-scale full,5,lunar_ice_sp50_005_005_seed679011,B1B_seeded_root_CG,B2B_seeded_tail_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1182.368403,1182.368403,True,True,3,3,53,53,0,0,0,0,0,53,21,21,0,,0,0,True,True,0,0.24217,,False,False,
5-scale full,5,lunar_ice_sp50_005_007_seed679013,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1400.622149,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.002972,,False,False,
5-scale full,5,lunar_ice_sp50_005_007_seed679013,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1400.622149,1400.622149,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.264497,,False,False,
5-scale full,5,lunar_ice_sp50_005_007_seed679013,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1400.622149,1400.622149,True,True,4,4,0,0,0,0,0,0,0,0,20,20,0,,0,0,True,True,0,0.345054,,False,False,
5-scale full,5,lunar_ice_sp50_005_007_seed679013,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,1400.622149,1400.622149,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.00779,,False,False,"wall_time_lower,final_judge_call_count_lower"
5-scale full,5,lunar_ice_sp50_005_007_seed679013,B1B_seeded_root_CG,B2B_seeded_tail_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1400.622149,1400.622149,True,True,4,4,54,54,0,0,0,0,0,54,20,20,0,,0,0,True,True,0,0.347997,,False,False,
5-scale full,5,lunar_ice_sp50_005_006_seed679032,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1244.612406,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.003526,,False,False,
5-scale full,5,lunar_ice_sp50_005_006_seed679032,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1244.612406,1244.612406,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.140789,,False,False,
5-scale full,5,lunar_ice_sp50_005_006_seed679032,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1244.612406,1244.612406,True,True,3,3,0,0,0,0,0,0,0,0,21,21,0,,0,0,True,True,0,0.205552,,False,False,
5-scale full,5,lunar_ice_sp50_005_006_seed679032,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,1244.612406,1244.612406,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.008004,,False,False,"wall_time_lower,final_judge_call_count_lower"
5-scale full,5,lunar_ice_sp50_005_006_seed679032,B1B_seeded_root_CG,B2B_seeded_tail_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1244.612406,1244.612406,True,True,3,3,53,53,0,0,0,0,0,53,21,21,0,,0,0,True,True,0,0.208464,,False,False,
5-scale full,5,lunar_ice_sp50_005_008_seed679014,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1579.649799,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.005698,,False,False,
5-scale full,5,lunar_ice_sp50_005_008_seed679014,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1579.649799,1579.649799,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.26422,,False,False,
5-scale full,5,lunar_ice_sp50_005_008_seed679014,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1579.649799,1579.649799,True,True,4,4,0,0,0,0,0,0,0,0,21,21,0,,0,0,True,True,0,0.385165,,False,False,
5-scale full,5,lunar_ice_sp50_005_008_seed679014,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,1579.649799,1579.649799,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.012826,,False,False,"wall_time_lower,final_judge_call_count_lower"
5-scale full,5,lunar_ice_sp50_005_008_seed679014,B1B_seeded_root_CG,B2B_seeded_tail_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1579.649799,1579.649799,True,True,4,4,57,57,0,0,0,0,0,57,21,21,0,,0,0,True,True,0,0.383057,,False,False,wall_time_lower
5-scale full,5,lunar_ice_sp50_005_004_seed679030,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1233.389303,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.003755,,False,False,
5-scale full,5,lunar_ice_sp50_005_004_seed679030,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1233.389303,1233.389303,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.149594,,False,False,
5-scale full,5,lunar_ice_sp50_005_004_seed679030,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1233.389303,1233.389303,True,True,3,3,0,0,0,0,0,0,0,0,19,19,0,,0,0,True,True,0,0.221774,,False,False,
5-scale full,5,lunar_ice_sp50_005_004_seed679030,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,1233.389303,1233.389303,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.00892,,False,False,"wall_time_lower,final_judge_call_count_lower"
5-scale full,5,lunar_ice_sp50_005_004_seed679030,B1B_seeded_root_CG,B2B_seeded_tail_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1233.389303,1233.389303,True,True,3,3,51,51,0,0,0,0,0,51,19,19,0,,0,0,True,True,0,0.221998,,False,False,
5-scale full,5,lunar_ice_sp50_005_009_seed679015,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1513.217855,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.004389,,False,False,
5-scale full,5,lunar_ice_sp50_005_009_seed679015,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1513.217855,1513.217855,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.226992,,False,False,
5-scale full,5,lunar_ice_sp50_005_009_seed679015,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1513.217855,1513.217855,True,True,3,3,0,0,0,0,0,0,0,0,18,18,0,,0,0,True,True,0,0.283746,,False,False,
5-scale full,5,lunar_ice_sp50_005_009_seed679015,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,1513.217855,1513.217855,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.009422,,False,False,"wall_time_lower,final_judge_call_count_lower"
5-scale full,5,lunar_ice_sp50_005_009_seed679015,B1B_seeded_root_CG,B2B_seeded_tail_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1513.217855,1513.217855,True,True,3,3,48,48,0,0,0,0,0,48,18,18,0,,0,0,True,True,0,0.288229,,False,False,
5-scale full,5,lunar_ice_sp50_005_012_seed679018,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1431.520203,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.011247,,False,False,
5-scale full,5,lunar_ice_sp50_005_012_seed679018,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1431.520203,1431.520203,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.256337,,False,False,
5-scale full,5,lunar_ice_sp50_005_012_seed679018,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1431.520203,1431.520203,True,True,3,3,0,0,0,0,0,0,0,0,19,19,0,,0,0,True,True,0,0.377658,,False,False,
5-scale full,5,lunar_ice_sp50_005_012_seed679018,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,1431.520203,1431.520203,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.024459,,False,False,"wall_time_lower,final_judge_call_count_lower"
5-scale full,5,lunar_ice_sp50_005_012_seed679018,B1B_seeded_root_CG,B2B_seeded_tail_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1431.520203,1431.520203,True,True,3,3,47,47,0,0,0,0,0,47,19,19,0,,0,0,True,True,0,0.382996,,False,False,
5-scale full,5,lunar_ice_sp50_005_010_seed679016,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1340.689732,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.007018,,False,False,
5-scale full,5,lunar_ice_sp50_005_010_seed679016,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1340.689732,1340.689732,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.185927,,False,False,
5-scale full,5,lunar_ice_sp50_005_010_seed679016,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1340.689732,1340.689732,True,True,3,3,0,0,0,0,0,0,0,0,21,21,0,,0,0,True,True,0,0.259204,,False,False,
5-scale full,5,lunar_ice_sp50_005_010_seed679016,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,1340.689732,1340.689732,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.015123,,False,False,"wall_time_lower,final_judge_call_count_lower"
5-scale full,5,lunar_ice_sp50_005_010_seed679016,B1B_seeded_root_CG,B2B_seeded_tail_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1340.689732,1340.689732,True,True,3,3,53,53,0,0,0,0,0,53,21,21,0,,0,0,True,True,0,0.262423,,False,False,
5-scale full,5,lunar_ice_sp50_005_011_seed679017,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1432.954994,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.005695,,False,False,
5-scale full,5,lunar_ice_sp50_005_011_seed679017,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1432.954994,1432.954994,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.310554,,False,False,
5-scale full,5,lunar_ice_sp50_005_011_seed679017,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1432.954994,1432.954994,True,True,3,3,0,0,0,0,0,0,0,0,20,20,0,,0,0,True,True,0,0.404301,,False,False,
5-scale full,5,lunar_ice_sp50_005_011_seed679017,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,1432.954994,1432.954994,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.011531,,False,False,"wall_time_lower,final_judge_call_count_lower"
5-scale full,5,lunar_ice_sp50_005_011_seed679017,B1B_seeded_root_CG,B2B_seeded_tail_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1432.954994,1432.954994,True,True,3,3,52,52,0,0,0,0,0,52,20,20,0,,0,0,True,True,0,0.401834,,False,False,wall_time_lower
5-scale full,5,lunar_ice_sp50_005_013_seed679019,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,1573.234918,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.005076,,False,False,
5-scale full,5,lunar_ice_sp50_005_013_seed679019,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1573.234918,1573.234918,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.250194,,False,False,
5-scale full,5,lunar_ice_sp50_005_013_seed679019,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,1573.234918,1573.234918,True,True,3,3,0,0,0,0,0,0,0,0,17,17,0,,0,0,True,True,0,0.326343,,False,False,
5-scale full,5,lunar_ice_sp50_005_013_seed679019,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,1573.234918,1573.234918,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.011399,,False,False,"wall_time_lower,final_judge_call_count_lower"
